Timestamp,Max_Relative_Error_Peak,Architecture,Activation_Func,Epochs,Run_Type,Optimizer,Learning_Rate,Loss_Total,Loss_Physics,Loss_Boundary,Loss_Data,L2_Relative_Error,Seed,n_points,Loss_Weight
2026-02-04 22:21:18,139.3445073785672,"[2, 50, 50, 50, 50, 1]",GELU,20000,PINN_DataPhys,Adam,[0.001 -> 6.25e-05],0.0086236412714671,0.0004657816462283254,0.00796136268888871,0.00019649693635006638,0.07805596507888214,123,,not_weighted
2026-02-04 22:33:08,83.30032489741653,"[2, 50, 50, 50, 50, 1]",GELU,20000,PINN_PurePhys,Adam + L-BFGS,[0.001 -> 6.25e-05],0.0034461646977043386,0.0002523143635591153,0.0031938503341452235,4.37979954567707e-05,0.05093539783781161,123,,not_weighted
2026-02-04 22:36:15,32.162434073842824,"[2, 50, 50, 50, 50, 1]",Tanh,40000,NN_Random,Adam,0.001,1.2910512537221718e-05,0,0,1.2910512537221718e-05,0.011858178194724454,123,,not_weighted
2026-02-04 22:39:22,12.4417131883458,"[2, 50, 50, 50, 50, 1]",Tanh,40000,NN_Grid,Adam,0.001,1.6530822315242432e-05,0,0,1.6530822315242432e-05,0.011105008597875535,123,,not_weighted
2026-02-04 22:52:09,96.69019906699432,"[2, 50, 50, 50, 50, 1]",Tanh,40000,PINN_DataPhys,Adam,0.001,0.005246967857356953,0.00043869494944129105,0.004714405355535214,9.386755238044828e-05,0.06200034720528229,123,,not_weighted
2026-02-04 23:08:32,136.29260605378028,"[2, 50, 50, 50, 50, 1]",Tanh,40000,PINN_PurePhys,Adam + L-BFGS,0.001,0.0032129303835100697,0.0003277527246882385,0.0028851776588218313,9.132096324358297e-05,0.05191869926194645,123,,not_weighted
2026-02-04 23:11:38,76.557531022149,"[2, 50, 50, 50, 50, 1]",Tanh,40000,NN_Random,Adam,[0.001 -> 6.25e-05],1.4085248418071564e-05,0,0,1.4085248418071564e-05,0.025907305455020367,123,,not_weighted
2026-02-04 23:14:47,7.797289139130827,"[2, 50, 50, 50, 50, 1]",Tanh,40000,NN_Grid,Adam,[0.001 -> 6.25e-05],2.817832444601357e-05,0,0,2.817832444601357e-05,0.010172878597196683,123,,not_weighted
2026-02-04 23:27:27,243.35677480071718,"[2, 50, 50, 50, 50, 1]",Tanh,40000,PINN_DataPhys,Adam,[0.001 -> 6.25e-05],0.00904220955954559,0.0012948559723639818,0.0074804620299242066,0.000266891557257402,0.07964494717162335,123,,not_weighted
2026-02-04 23:43:51,149.85965606096502,"[2, 50, 50, 50, 50, 1]",Tanh,40000,PINN_PurePhys,Adam + L-BFGS,[0.001 -> 6.25e-05],0.0028726185367277226,0.0002896806899830989,0.0025829378467446236,7.239340476787701e-05,0.04902611105105708,123,,not_weighted
2026-02-04 23:47:02,16.498743629554173,"[2, 50, 50, 50, 50, 1]",SiLU,40000,NN_Random,Adam,0.001,2.1463161959835277e-05,0,0,2.1463161959835277e-05,0.010084073694280741,123,,not_weighted
2026-02-04 23:50:12,18.593573747339214,"[2, 50, 50, 50, 50, 1]",SiLU,40000,NN_Grid,Adam,0.001,2.6061612669141714e-05,0,0,2.6061612669141714e-05,0.010803619676458006,123,,not_weighted
