Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_Tanh_N1_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,100,False,66.0513048171997,3.5146211427844982e-06,1.5125022347491705e-06,3.564151465734923e-07,1.6457037614618351e-06,7.782627448256517,0.02522321835971094,1.0,1.0100830997269037,1.0083099726903688
Poisson_Inverse_Tanh_N1_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,100,True,66.09806680679321,4.467413269378417e-06,2.596236912491177e-06,4.275049299833698e-07,1.4436714269038703e-06,7.564682493547161,0.023048103451178133,1.0,1.0189669400838772,1.8966940083877226
Poisson_Inverse_Tanh_N1_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,500,False,66.05988812446594,4.156653909620119e-06,2.2326335232358396e-06,4.6226987243327745e-07,1.461750513951002e-06,6.169236525379042,0.022462653712652693,1.0,1.0194419231734921,1.9441923173492137
Poisson_Inverse_Tanh_N1_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.01,500,True,70.35267376899719,1.3523117905333264e-06,1.0633624096761554e-06,2.44118897007203e-07,4.483048384996792e-08,2.312728637603382,0.0045765698992158875,1.0,0.9991021521422311,0.08978478577689186
Poisson_Inverse_Tanh_N2_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,50,False,66.15385007858276,6.116585289610702e-06,2.871982733888516e-06,1.038067714365102e-06,2.2065348413570837e-06,9.188067677051947,0.02938111050604984,1.0,1.032112606342741,3.2112606342741046
Poisson_Inverse_Tanh_N2_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,50,True,66.4158411026001,5.395246528476791e-06,2.7777478569193357e-06,1.1267879530887159e-06,1.490710718468739e-06,7.64583955963047,0.023911131561098295,1.0,1.0199159705205896,1.9915970520589577
Poisson_Inverse_Tanh_N2_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,100,False,66.26954412460327,4.227148118439848e-06,1.7613656484088726e-06,1.290514551470111e-06,1.1752679185608642e-06,7.323972554448829,0.023859304922843758,1.0,1.0040628626364063,0.4062862636406317
Poisson_Inverse_Tanh_N2_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,100,True,67.54860663414001,7.359478683121129e-06,3.4531737605339238e-06,1.4293418242636205e-06,2.476963098323585e-06,7.901462413522904,0.03037100414278174,1.0,1.033267953387581,3.326795338758104
Poisson_Inverse_Tanh_N2_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,500,False,67.53278756141663,5.470239434815426e-06,2.4978020441229255e-06,1.1600995211726422e-06,1.8123378695198589e-06,7.267921881237954,0.025656994844539312,1.0,1.0296539443566817,2.965394435668167
Poisson_Inverse_Tanh_N2_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.02,500,True,67.63020420074463,4.226852344036274e-06,2.0347305397895475e-06,1.1832090945986777e-06,1.0089127096480493e-06,5.673004579669095,0.018686138741750635,1.0,1.0166927388760392,1.669273887603917
