% Model,Oldroyd_mau_res.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 8 2026, 17:12"
% Dimension,2
% Nodes,6598
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa),vef.Te_1xx (N/m^2),vef.Te_1xy (N/m^2),vef.Te_1yy (N/m^2)
2.9016690937958803E-4,2.987341616561329E-4,9.124084332044113E-4,3.5604265125412587E-4,16.712557919571264,-0.7307036366195545,0.38623961450159455,0.34665967899488026
0,4.347826086956521E-4,0.001,0,17.35992773498199,0,0,0
0,0,5.0E-4,0,18.428042995924702,0,0,0
4.4811320754716444E-4,0,0,0,14.889742810358934,5.6762236863198305,2.5483818150121187,0.20704574205423676
3.2730604769435636E-4,6.621371511575516E-4,9.300570368954464E-4,6.195124577417279E-4,16.479767168856366,-0.14752450211601717,0.2699372026374293,0.2811622959928383
0,8.695652173913042E-4,0.001,0,16.24642947441271,0,0,0
3.5043210329396184E-4,0.0010875867364164187,0.0010113820393124774,7.052690057961449E-4,15.904819922325103,-0.032671222471588796,0.4241752531536525,0.18506979621400046
0,0.0013043478260869564,0.001,0,15.686855195827684,0,0,0
6.846436720352346E-4,3.94593787197152E-4,5.925101473132991E-4,1.8314434445736982E-4,16.413577116789725,-0.6906286862403775,0.6522350505516884,1.0337190337333142
8.962264150943394E-4,0,0,0,15.091343539509067,5.355487915205038,2.0508395770936283,0.14986765978202815
3.559769755908846E-4,0.0015188134177947432,0.0010311311988179242,6.841220706776648E-4,15.55349709388756,0.03424916685297454,0.4237295630580535,0.13402223657643983
0,0.0017391304347826083,0.001,0,15.301864580878485,0,0,0
6.955668669647698E-4,8.742737282671943E-4,8.96578775845003E-4,3.663108616528791E-4,16.063362837515886,-0.14360105213213223,0.1166295088771823,0.25076413729809177
7.2374272951376E-4,0.0012963830778007614,0.0010153899371119874,4.3976512199531484E-4,15.651712811013041,-0.04349042790921807,0.13040806228634216,0.04829606807497358
0.001005214895044854,6.766780336453075E-4,6.930331957127377E-4,1.425835029397541E-4,15.74976281914591,-0.380267156293505,0.47113977652941036,0.6770679513990793
