% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 9 2026, 18:24"
% Dimension,2
% Nodes,20128
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ lambda=0.05,v (m/s) @ lambda=0.05,p (Pa) @ lambda=0.05,vef.Te_1xx (N/m^2) @ lambda=0.05,vef.Te_1xy (N/m^2) @ lambda=0.05,vef.Te_1yy (N/m^2) @ lambda=0.05
-0.024578870590021014,-0.02456021856044265,5.953487512690588E-7,-6.256500718513321E-7,1.6326050924542679E-6,0.005064386194472494,-1.0501702982379266E-4,-0.005045684475426358
-0.025,-0.024350649350649352,0,0,-0.002774898587665811,6.787066045173296E-4,-0.0034000062587977967,-5.771489349976343E-4
-0.025,-0.025,0,0,-6.302363634962208E-5,-7.807077967721808E-4,-2.2794947923624288E-5,7.964425132660326E-4
-0.024350649350649345,-0.025,0,0,0.002504751884369891,7.448408610334222E-4,0.003500343377381103,-8.847264367473546E-4
-0.013570737581284733,-0.01368479671127369,-0.005790050369881561,0.005609666583126731,0.24476652602013302,-2.6210560189720096,-0.6759631657742796,3.7686492678166985
-0.01342273523877514,-0.013644843410250553,-0.006072399996645675,0.0057022543060255134,0.27923753840831095,-2.7150948414634315,-0.8357443778868955,3.9808952264186845
-0.013535533905932734,-0.01353553390593274,-0.005890261554214714,0.00589020817921362,0.2867068718430227,-2.761984268026153,-0.6250248701023883,4.029691244675073
-0.013453291579323555,-0.013795176213929458,-0.005963383973015665,0.005425008092447622,0.23812528103312558,-2.57144987545549,-0.8732703486739156,3.717139932803106
-0.013306558565652453,-0.013750556019033763,-0.006248548564255398,0.0055086655430537255,0.27211664114865153,-2.654733187674647,-1.0426424488318704,3.9183453573297897
-0.024518455816535268,-0.024021727074444624,1.0261690182710866E-6,-2.462271660868066E-6,0.002502526837919261,0.006892209811653627,-0.00257404294947174,-0.006945581944461446
-0.025,-0.023701298701298702,0,0,0.004737681698972002,9.897064948616006E-4,-0.01028314285525738,-8.368457026469769E-4
-0.024025247782920443,-0.024428716377119276,2.6555903121134046E-6,-1.3349515022387085E-6,-0.002599524036963105,0.0075545315398195595,0.0018340783284197927,-0.0074962574631481154
-0.02370129870129869,-0.025,0,0,-0.0048293829822489455,0.0010394046768647958,0.010143575684894443,-0.0011128893277802482
-0.013684629528666963,-0.01357073785207342,-0.005611123449086462,0.005788953759071294,0.25162410151550385,-2.65794571876009,-0.47564031624852143,3.8071460039651224
-0.013644843410250554,-0.013422735238775145,-0.00570233177120096,0.006072325052656417,0.29410874644124657,-2.795183512389826,-0.41146620476923323,4.064326648784254
-0.013724642405885586,-0.013724666682603888,-0.005513110756200924,0.0055126665311538816,0.22674721212457002,-2.534626412194367,-0.5090207761197361,3.564132287763367
-0.013794883653206809,-0.013453143347627946,-0.005426706716065985,0.005962639865740108,0.2586337292622182,-2.6818765367987782,-0.27312944120353894,3.832338691670509
-0.013750556019033763,-0.013306558565652458,-0.005508795946907316,0.0062484294323260125,0.30127407795399275,-2.814541390830485,-0.1960321015304887,4.084525150013221
-0.013605955393745385,-0.013839954697659244,-0.00568344094978554,0.005336490166088676,0.22052722194485663,-2.4961551617085487,-0.6968724076461487,3.5242494762564998
-0.01333239372673537,-0.013901770284621947,-0.006130997738837459,0.005235134050998931,0.23171186092589013,-2.509389266751245,-1.0667900065998601,3.6528804790095264
-0.01318711903699512,-0.01385256696814258,-0.006418521476080778,0.005309646149306011,0.26556662704751244,-2.5812067201801963,-1.2448017501614537,3.842446418400197
-0.013208175606899885,-0.014004485393723754,-0.006292714068370617,0.005040187801692238,0.22562816561724378,-2.4351650329182104,-1.2557452819102932,3.5761705315225467
-0.013064534716697496,-0.01395077548971791,-0.006582156261608962,0.00510538725735948,0.2595620150664642,-2.4948990508918185,-1.4413895143615478,3.7536081598028006
-0.01348362037547255,-0.01395135714533558,-0.005848463305246187,0.005155356972864658,0.214530914227777,-2.445885792251746,-0.8818075658888368,3.472397490806454
-0.02449516972855539,-0.02338034192406839,5.361004107488033E-7,-4.133835966660203E-6,0.014010276788083765,0.0030625468511436614,-0.0032223070695883253,-0.003100885037724544
-0.025,-0.023051948051948053,0,0,0.023801905488165253,7.24856579462373E-4,-0.014427942166443818,-6.451463225091451E-4
-0.024010986620666686,-0.02370946199004926,1.950851219853273E-6,-3.309885529905444E-6,0.003949296279249122,0.0031339932236914797,-2.63369693740027E-4,-0.0030830484691384643
