% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 9 2026, 18:24"
% Dimension,2
% Nodes,20128
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ lambda=0.5,v (m/s) @ lambda=0.5,p (Pa) @ lambda=0.5,vef.Te_1xx (N/m^2) @ lambda=0.5,vef.Te_1xy (N/m^2) @ lambda=0.5,vef.Te_1yy (N/m^2) @ lambda=0.5
-0.024578870590021014,-0.02456021856044265,5.545149849445245E-7,-5.827573425789448E-7,-2.677552989326112E-4,0.0048064992066546765,-1.1292178862331482E-4,-0.0047837756576481144
-0.025,-0.024350649350649352,0,0,-0.003361438791673855,5.183538476830968E-4,-0.0029964558568789674,-4.581411060908102E-4
-0.025,-0.025,0,0,-3.007241673448892E-4,-8.008074299001892E-4,-1.905088626686093E-5,8.185043420740939E-4
-0.024350649350649345,-0.025,0,0,0.002640572540334795,6.01337451652944E-4,0.0031191939170565233,-6.874749947763196E-4
-0.013570737581284733,-0.01368479671127369,-0.005785256858695797,0.005604610519988132,2.726198729921204,2.694565741326951,-5.902065704553615,8.807012351363028
-0.01342273523877514,-0.013644843410250553,-0.006072286930893182,0.005702064103291018,3.181078818446918,2.894084029205955,-6.035359475760139,8.988060484298488
-0.013535533905932734,-0.01353553390593274,-0.005890154681148439,0.005890016150814414,3.1925578192097728,2.5317063675696776,-5.845630616324478,9.37733450540806
-0.013453291579323555,-0.013795176213929458,-0.005958407061083196,0.005420084977678322,2.715451848715427,3.05935737075205,-6.068949938408213,8.415882516223462
-0.013306558565652453,-0.013750556019033763,-0.0062484294780633205,0.005508477010365584,3.1697886382419234,3.266580999869603,-6.20073799691804,8.588234289152615
-0.024518455816535268,-0.024021727074444624,1.0969558384111055E-6,-2.5037682238321892E-6,0.0013588163707954806,0.00755119066330228,-0.002893692315555064,-0.0075240945311979565
-0.025,-0.023701298701298702,0,0,0.0019429105101974149,9.302600556982135E-4,-0.010086435015389769,-7.083596269390268E-4
-0.024025247782920443,-0.024428716377119276,2.749753266037457E-6,-1.4448675042540555E-6,-0.0020291492351413956,0.008399279834261095,0.0021319900522487802,-0.0082833191265025
-0.02370129870129869,-0.025,0,0,-0.002514143006415291,0.0010645444694346497,0.009963170040464335,-0.0010779059681180405
-0.013684629528666963,-0.01357073785207342,-0.00560651373304336,0.0057837600222841005,2.7372023248184703,2.3401242197223673,-5.711563731784255,9.187668934439037
-0.013644843410250554,-0.013422735238775145,-0.005702231374627148,0.0060721309898007685,3.204017344759445,2.1810108991967785,-5.63220909642236,9.754447408840567
-0.013724642405885586,-0.013724666682603888,-0.005496955158035402,0.005497182331605014,2.5098943235821847,1.9983990365190751,-5.079144592995547,8.1897727423582
-0.013794883653206809,-0.013453143347627946,-0.005422276718415547,0.005957306467785288,2.748318708202332,1.9974129612608367,-5.49792616496731,9.556095533010884
-0.013750556019033763,-0.013306558565652458,-0.005508702317163348,0.006248233295558322,3.2153959102453147,1.8435125325190616,-5.395853579243624,10.117843183793333
-0.013605955393745385,-0.013839954697659244,-0.005666673152181809,0.005321426429320649,2.499725143217686,2.312924154401481,-5.251216184830013,7.851616944731966
-0.01333239372673537,-0.013901770284621947,-0.006125831256475758,0.005230341301637047,2.7049975566509574,3.433063298059554,-6.211737846376223,8.015835824385482
-0.01318711903699512,-0.01385256696814258,-0.006418396395163011,0.0053094592551586675,3.1588169616217328,3.6476193760093536,-6.341230904297201,8.17947430964222
-0.013208175606899885,-0.014004485393723754,-0.00628734232053848,0.005035523765561464,2.6948425930761464,3.8141223284203534,-6.329939477303878,7.608369156286645
-0.013064534716697496,-0.01395077548971791,-0.006582025168373261,0.005105202024411709,3.1481274308004323,4.0356125555708475,-6.456418651582502,7.7633969038365604
-0.01348362037547255,-0.01395135714533558,-0.0058310713291037765,0.005140730567787942,2.4899304859239346,2.6372279577966338,-5.402852486885075,7.504454290593004
-0.02449516972855539,-0.02338034192406839,8.297295228124605E-7,-4.699677691020378E-6,0.011038537485853324,0.005182629764622652,-0.004630914115435085,-0.00518033242597276
-0.025,-0.023051948051948053,0,0,0.01821282456155048,7.463744326017347E-4,-0.015553736338305911,-4.423282465795023E-4
-0.024010986620666686,-0.02370946199004926,2.750316388388845E-6,-4.23450374212543E-6,0.003031449925179657,0.006297719863249862,-7.262140253419084E-4,-0.006220703787295701
-0.023553982076635723,-0.02399972181830318,4.630855548598312E-6,-2.3976735884474454E-6,-0.005943709731110377,0.00437840601844279,6.548261645145949E-4,-0.004420669604187882
-0.023342897628441713,-0.02447920235758297,4.8541622476882905E-6,-8.247261180962618E-7,-0.0122228568567252,0.005016167922196405,0.004503041246948402,-0.004972239277875427
-0.023051948051948046,-0.025,0,0,-0.018710314855127346,0.0010019722615519236,0.015525101019611841,-8.05454808940355E-4
-0.013765454366484258,-0.013885248746342763,-0.005383382071348294,0.005217790692654858,2.2401486751569135,1.8174335945515463,-4.695858532731489,7.411619383031756
-0.013839609732338241,-0.013605652130483328,-0.00532196573794437,0.005667768000228481,2.5202770621216466,1.6946731820951795,-4.886904258128424,8.517324676213248
-0.01388539892071315,-0.01376484815484094,-0.005217230352859515,0.005385121245724871,2.2500463399813078,1.5364575780436909,-4.521781142910682,7.713527954477494
-0.013901409608296654,-0.01333215974712156,-0.005232682973628362,0.006125016301622686,2.759373107844143,1.667845324402027,-5.261786568462015,9.910541691561448
-0.013852566968142578,-0.013187119036995123,-0.005309748591943708,0.006418161330947744,3.226684514472833,1.520665607598451,-5.137402616280575,10.466007510162619
-0.013950784440587956,-0.013483086697508563,-0.005141777530075788,0.005832902082716474,2.530699782866833,1.4028133058488181,-4.6748423075330345,8.832543831983015
-0.014004113357529649,-0.013207915206118923,-0.0050378994349268786,0.006286696149321292,2.7702569007145903,1.3528327285951374,-5.003944934711357,10.249403712951063
-0.013950775489717907,-0.0130645347166975,-0.005105558890300052,0.006581755221050482,3.2378546763608207,1.2138690547096884,-4.857777569137146,10.797456462217937
-0.02448239777047977,-0.02273260876465369,-1.6481864529048422E-8,-5.374280481124176E-6,0.028627891578281914,-7.401127364590571E-4,-0.0034080137236099446,7.172212019865798E-4
-0.025,-0.022402597402597403,0,0,0.042844377936849844,5.291008777479625E-4,-0.016840619581439672,-2.451320014649248E-4
-0.013641626671071666,-0.014001697624327646,-0.005544627326588748,0.005045718868386741,2.230763471585228,2.1086030201145203,-4.851840433435651,7.100548581434478
-0.013807312083536936,-0.014053012237334775,-0.005262223165596061,0.004943514222271608,2.0012855353242323,1.6252907461236508,-4.307647739378897,6.6852978951319955
-0.013357736090766176,-0.01405877953771296,-0.005990047972205447,0.004955192531447696,2.480561046628847,2.970150820003681,-5.533604548191819,7.149477344924606
-0.013080777126400813,-0.014103209580077195,-0.006442766041671151,0.004835822115946551,2.6850231352365657,4.200931295646658,-6.423187479795355,7.195103702005347
-0.01293892622972893,-0.014045084994930429,-0.006739158918986003,0.004895901473969188,3.1376889271828206,4.428960805720819,-6.5459920373772364,7.341646086906437
-0.012950327335930078,-0.01419782671436967,-0.006591972869353269,0.004631445017168946,2.6756049879733137,4.591930594776436,-6.491272064462405,6.777704750142573
-0.012810416269897769,-0.01413540329229132,-0.006889623129796146,0.004681792816961609,3.127703708009341,4.8260486915149725,-6.609758963192692,6.915918251243017
-0.013228464035592339,-0.014162153918232652,-0.006143381102740997,0.0047648812917284065,2.471536835852944,3.310221496914329,-5.642806577127036,6.787730128129291
-0.01351406421672429,-0.014114094378819083,-0.005700793038581995,0.004868994618212197,2.2218627045965564,2.4087867583544633,-4.989089190336279,6.781293800965295
-0.023962645158903773,-0.023063885714651178,4.091981612519259E-7,-4.6249650852673414E-6,0.015018670317585364,-0.0026927774296323886,9.901594907141189E-4,0.0026201237499656927
-0.023377528203559355,-0.02340258992656703,1.1206040633906924E-6,-9.929738213884231E-7,-5.756552325112829E-4,-0.006668944213089638,-4.447719641726643E-5,0.0066971720224981305
-0.023008939006265276,-0.02395256945706135,4.443527123176648E-6,-1.0783483704710786E-7,-0.016798602659402254,-0.003653055356644131,-0.0013399068390403254,0.003679768388845707
-0.02270982950343316,-0.024474344441485326,5.368749636530316E-6,6.074515283427622E-8,-0.029765684977990512,-0.001020554650583669,0.0031680848392374203,0.001005799271037688
-0.022402597402597396,-0.025,0,0,-0.04330694350796523,8.048599040530957E-4,0.01681906744612959,-5.737668727887949E-4
-0.014102902092897766,-0.013080527024111915,-0.004838103666191341,0.0064421798861172734,2.780889309083046,1.0537501101351443,-4.725331917422955,10.571207935839
-0.014045084994930426,-0.01293892622972893,-0.004896325473917403,0.006738860679737575,3.248887718185576,0.9244618449830296,-4.557983706377165,11.110755314344791
-0.013932672136084845,-0.013931381412886058,-0.005104318202828595,0.00510698873031546,2.010151820491765,1.3668879352415937,-4.149096301436013,6.960305372553614
-0.014001372557630771,-0.013640662996817618,-0.005046236525499909,0.005547488692713966,2.2602572699562096,1.266626927051054,-4.330019826293845,8.004926580661449
-0.014053708841983188,-0.013805617453155396,-0.004942226717627437,0.0052661482528542185,2.0198443357015687,1.1194559055082804,-3.975522894330053,7.226963573513821
-0.014058105818373147,-0.013357129202027895,-0.00495647258911554,0.005992322767571479,2.541001305749559,1.123914989320724,-4.443436191486469,9.133740608270038
