% Model:              Oldroyd_mau.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 4 2026, 15:46
% Dimension:          2
% Nodes:              6516
% Expressions:        6
% Description:        Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  p (Pa)                   vef.Te_1xx (N/m^2)       vef.Te_1xy (N/m^2)       vef.Te_1yy (N/m^2)
2.907183563984339E-4      2.988694865558939E-4     9.120131006654624E-4     3.5421411882806495E-4    13.547210425034788       -0.7288676525238791      0.3843266617153436       0.3467492290605291
0                         4.347826086956521E-4     0.001                    0                        14.194407590968092       0                        0                        0
0                         0                        5.0E-4                   0                        15.279086153838138       0                        0                        0
4.48430493273555E-4       0                        0                        0                        11.715258141240847       5.649194849951951        2.532398786141926        0.19615758741842027
3.238636849028974E-4      6.651716725750536E-4     9.304207294895476E-4     6.189364715053863E-4     13.32395873988425        -0.14165968433452616     0.27095170396366614      0.2764061385318663
0                         8.695652173913042E-4     0.001                    0                        13.088510400463454       0                        0                        0
3.5131975490143054E-4     0.0010868087589266408    0.001011930534734221     7.048037641912808E-4     12.750294462671048       -0.0329598378275155      0.4233547332305642       0.1835265127449757
0                         0.0013043478260869564    0.001                    0                        12.530803090670156       0                        0                        0
6.812976038157171E-4      3.9439315150876375E-4    5.942756146850686E-4     1.8474472691506992E-4    13.265980597576688       -0.695947106266414       0.6509382804455163       1.0387157891214729
8.968609865470878E-4      0                        0                        0                        11.935018460036465       5.353873786104491        2.0571846400067106       0.1526989364566797
3.5783993939337644E-4     0.0015184803691796129    0.0010314185243838184    6.844620284348408E-4     12.396484527665885       0.03428492438260978      0.42325754324885273      0.13306980593895623
0                         0.0017391304347826083    0.001                    0                        12.144913906039198       0                        0                        0
7.017979092886675E-4      8.675308164025801E-4     8.911047114077984E-4     3.585241223497859E-4     12.901347730244831       -0.14688657504387523     0.12177118599184121      0.2605260346855391
7.244164053721859E-4      0.0012957559130466348    0.001014725928323242     4.3850484399141516E-4    12.492966546980782       -0.045451466055278895    0.1291368121860674       0.047273892344719855
0.00101094986265434       6.861565673299624E-4     6.967371856077628E-4     1.4426523967257422E-4    12.581455810779769       -0.37335096862892564     0.46142136477915036      0.6659022553402757
0.001146878791793678      3.594821398713135E-4     4.1375312412684795E-4    6.169455824362684E-5     12.45632369831278        1.1673972594436492       1.4569423711297336       0.8835820408083431
0.0013452914798206428     0                        0                        0                        11.572710512922809       2.5323721682731892       0.8230869223125533       -0.26638464515933286
3.568894669228125E-4      0.001953268596908284     0.0010438855884721385    6.16582784049829E-4      12.111453879955903       0.06415675547775156      0.40479614233145184      0.09313075507413869
0                         0.002173913043478261     0.001                    0                        11.884658748869958       0                        0                        0
7.1441046645509E-4        0.0017315662520603358    0.0010708620749379746    4.6675107359676156E-4    12.212022529309097       0.07927518066858323      0.17337105197131344      -0.0270165587384612
0.001063260239784575      0.0015210393010371287    0.001016738542300671     3.476399966020267E-4     12.275621541018467       -0.06372405488619608     0.06009053599369039      0.04247081553589821
