% Model,Oldyoid_restrizione_project.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 4 2026, 00:20"
% Dimension,2
% Nodes,38306
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa),vef.Te_1xx (N/m^2),vef.Te_1xy (N/m^2),vef.Te_1yy (N/m^2)
1.7067710328867976E-6,1.7622164745576853E-6,5.240018045154454E-5,-2.519264091672706E-10,4.488561686867606,0.8684812536347264,0.1473524793159271,6.84014610181343E-7
0,2.5974025974025985E-6,7.69101163292875E-5,-1.3177693541734595E-11,4.493725263246697,0.8537531176330854,0.14610397004576953,3.080953460525876E-8
0,0,0,0,4.493705703398596,0.8998991666893426,0.14999998717446605,-1.1455662335772789E-8
2.6011560693641856E-6,0,0,0,4.485877475880885,0.8999836622861178,0.1500066908264724,-1.1488471225313454E-6
1.9509397132529158E-6,3.925150319624707E-6,1.1544066712402484E-4,-8.034967087487947E-10,4.487814606962313,0.8306628817728008,0.1441083386043085,-1.4581427138401484E-6
0,5.194805194805197E-6,1.5179628724493072E-4,-2.2861806731573944E-11,4.493712480785628,0.8088215614860869,0.14220776253340522,-1.3850554636059526E-8
5.202312138728371E-6,0,0,0,4.47806708492801,0.900001649132575,0.1500096255948271,1.585841742076099E-6
3.981759381816885E-6,2.288529455761121E-6,6.786944054379842E-5,-5.086531403487678E-10,4.481736816074384,0.8591349034621487,0.14655882165540568,-1.3051902673762892E-7
2.030819244976361E-6,6.4956060375269535E-6,1.885348314105649E-4,-6.68462323777018E-10,4.4875785209218995,0.7867808826557677,0.14025532985329844,-1.6807198650738118E-7
0,7.792207792207795E-6,2.2465850927487615E-4,-1.8780556333608377E-11,4.493732249111538,0.7651042216736764,0.13831174990530362,3.7969284847636444E-8
6.653115537221255E-6,2.1107381548696615E-6,6.265501916865136E-5,-1.0530001440911655E-10,4.473698500902805,0.8622948773654228,0.14683187226940717,9.568309836087848E-7
7.803468208092507E-6,0,0,0,4.470248469615738,0.8999857298431716,0.14999857445278458,-1.5592525287252112E-6
3.9862886163086195E-6,5.212341506518309E-6,1.5229134284364942E-4,-1.312775640288834E-9,4.481726950426929,0.8085187515513336,0.14217559424752732,-1.0421861318084495E-6
5.9044445214127E-6,4.061678517124703E-6,1.1937562329274455E-4,-2.4317296615341534E-10,4.4759434002014125,0.8283179192131499,0.14390359053105392,-8.893148891046963E-7
2.0766531228388476E-6,9.080928333324288E-6,2.600533289369282E-4,-3.7231248635476477E-10,4.487435697086138,0.7438740387605317,0.13637896071527833,-1.0877633497577735E-7
0,1.0389610389610394E-5,2.954967653832131E-4,-1.8683752894787168E-11,4.493734575140214,0.7226013546448277,0.1344156046460645,1.73014975187117E-8
9.132201959017118E-6,2.1085482983728977E-6,6.259083872151505E-5,-6.569536630847724E-11,4.466277978178314,0.8623512714476188,0.14684054847693986,1.2481020153031905E-6
1.0404624277456593E-5,0,0,0,4.46245936587489,0.8999975590731687,0.15000497108555225,-2.2712461492973864E-7
4.1710339998136215E-6,7.768199822799542E-6,2.2398911286199816E-4,-9.97724082015402E-10,4.481169519564886,0.7655053990364435,0.13834433296885276,-7.5480452375217E-8
7.993144066679584E-6,4.229510087617235E-6,1.242027167001825E-4,-2.095732348768999E-10,4.4697003713937145,0.8254200909296653,0.1436556638788388,2.7106550143759013E-7
6.534171655106061E-6,6.4265958091443394E-6,1.8659953232892713E-4,-1.3520072500237565E-9,4.4740673399908255,0.7879110532965463,0.14035395715359666,1.2792126686715718E-8
2.0863215882879393E-6,1.167626111329475E-5,3.298320556572544E-4,-4.61647229354081E-10,4.487405683493233,0.7020048921063086,0.13248608299140133,-1.5438831913612048E-7
0,1.2987012987012993E-5,3.643110757189127E-4,-1.703026024467933E-11,4.493738673109771,0.6813128101879413,0.13051951316919574,2.692619836496501E-8
1.1728883734322546E-5,2.1155927968174027E-6,6.279755191926448E-5,1.1691623156809454E-10,4.458485438943966,0.862237551724836,0.14683050928737315,1.4940842603945205E-6
1.3005780346820829E-5,0,0,0,4.454653273586178,0.8999837889924645,0.15000286594130122,-2.9144703831360747E-7
