x,y,u,v,p,psi,u_exact,p_exact,psi_exact
0.016949153,0.0068965517,0.06390249,0.0010835425,0.9769648,0.0005074579,0.066587396,0.9830508,0.00023234518
0.033898305,0.0068965517,0.06445132,-0.00011905772,0.9413431,-0.00014846066,0.066587396,0.9661017,0.00023234518
0.050847456,0.0068965517,0.068989955,0.001415229,0.9391469,0.00070289994,0.066587396,0.9491525,0.00023234518
0.06779661,0.0068965517,0.068648554,0.0030502027,0.9459851,-7.6899494e-05,0.066587396,0.9322034,0.00023234518
0.084745765,0.0068965517,0.06840819,-0.0015258963,0.92197835,0.00085440377,0.066587396,0.91525424,0.00023234518
0.10169491,0.0068965517,0.066993386,-0.004313583,0.8945039,0.00027808512,0.066587396,0.89830506,0.00023234518
0.118644066,0.0068965517,0.06777718,-0.008398903,0.88867676,0.0013883879,0.066587396,0.88135594,0.00023234518
0.13559322,0.0068965517,0.055752497,0.015753154,0.87756175,6.460736e-05,0.066587396,0.86440676,0.00023234518
0.15254237,0.0068965517,0.060781326,0.001541884,0.8516889,0.00056630146,0.066587396,0.84745765,0.00023234518
0.16949153,0.0068965517,0.06092975,-0.0072643664,0.8197697,-0.00026844168,0.066587396,0.8305085,0.00023234518
0.18644068,0.0068965517,0.07277858,0.010094162,0.83829176,0.0005057122,0.066587396,0.8135593,0.00023234518
0.20338982,0.0068965517,0.077443466,-0.001906225,0.7918954,0.0006343899,0.066587396,0.7966102,0.00023234518
0.22033899,0.0068965517,0.059939016,-0.008729323,0.7783324,0.00024631218,0.066587396,0.779661,0.00023234518
0.23728813,0.0068965517,0.06809832,0.0052191494,0.7637783,-0.00012963761,0.066587396,0.7627119,0.00023234518
0.2542373,0.0068965517,0.055587966,0.0022501454,0.7388772,-0.00016558565,0.066587396,0.7457627,0.00023234518
0.27118644,0.0068965517,0.06808293,0.00227383,0.7220066,0.0007247608,0.066587396,0.7288135,0.00023234518
0.2881356,0.0068965517,0.06830179,0.00046870552,0.72526205,-0.00025950721,0.066587396,0.7118644,0.00023234518
0.30508474,0.0068965517,0.064819016,-0.0047750827,0.68964905,0.00074156036,0.066587396,0.6949153,0.00023234518
0.3220339,0.0068965517,0.07665984,-0.0014476124,0.6895701,0.0010435089,0.066587396,0.6779661,0.00023234518
0.33898306,0.0068965517,0.06253714,0.00061422103,0.65709245,0.00043940253,0.066587396,0.66101694,0.00023234518
0.3559322,0.0068965517,0.06958495,-0.0051980475,0.6673074,7.764892e-05,0.066587396,0.64406776,0.00023234518
0.37288135,0.0068965517,0.05350589,0.0060045556,0.6120353,0.0011528715,0.066587396,0.62711865,0.00023234518
0.3898305,0.0068965517,0.05975955,-0.0020892157,0.60547215,0.00043239706,0.066587396,0.61016953,0.00023234518
0.40677965,0.0068965517,0.06598116,-0.0013954348,0.6024683,-0.00010857788,0.066587396,0.59322035,0.00023234518
0.42372882,0.0068965517,0.06399102,0.0025702405,0.5931474,0.00036538581,0.066587396,0.5762712,0.00023234518
0.44067797,0.0068965517,0.06716194,0.0009503217,0.5804412,-0.0005071268,0.066587396,0.559322,0.00023234518
0.45762712,0.0068965517,0.06989375,-0.00041834606,0.5399863,0.0007600749,0.066587396,0.5423729,0.00023234518
0.47457626,0.0068965517,0.06721982,0.0014284925,0.51553977,0.0013104271,0.066587396,0.52542377,0.00023234518
0.4915254,0.0068965517,0.069746375,0.0016445116,0.5218658,-0.00021988996,0.066587396,0.5084746,0.00023234518
0.5084746,0.0068965517,0.060550526,0.0025569033,0.4837279,-0.0009194453,0.066587396,0.4915254,0.00023234518
0.52542377,0.0068965517,0.07228085,-0.008752901,0.46911824,0.00021905743,0.066587396,0.47457623,0.00023234518
0.5423729,0.0068965517,0.059743956,-0.004225294,0.4614745,0.0010607213,0.066587396,0.45762712,0.00023234518
0.559322,0.0068965517,0.058421455,-0.01100074,0.43805563,0.0002956802,0.066587396,0.440678,0.00023234518
0.5762712,0.0068965517,0.0692083,-0.007170306,0.42327318,0.00072900514,0.066587396,0.42372882,0.00023234518
0.59322035,0.0068965517,0.069894046,0.011158207,0.41522843,0.0008568787,0.066587396,0.40677965,0.00023234518
0.61016953,0.0068965517,0.062052928,0.0024586243,0.39395148,0.00020077197,0.066587396,0.38983047,0.00023234518
0.62711865,0.0068965517,0.067667335,-0.001967383,0.3776965,0.00034265855,0.066587396,0.37288135,0.00023234518
0.64406776,0.0068965517,0.0640219,-0.0054620556,0.35817137,0.00037210825,0.066587396,0.35593224,0.00023234518
0.66101694,0.0068965517,0.05874239,0.007048675,0.3446155,0.00064490875,0.066587396,0.33898306,0.00023234518
0.6779661,0.0068965517,0.060287584,0.0012232324,0.33066717,0.00061222975,0.066587396,0.32203388,0.00023234518
0.6949153,0.0068965517,0.055670388,-0.0019594375,0.3016233,0.00022879442,0.066587396,0.3050847,0.00023234518
0.7118644,0.0068965517,0.06516712,0.0005060392,0.28952765,-0.00012037366,0.066587396,0.2881356,0.00023234518
0.7288135,0.0068965517,0.06722646,-0.0058282237,0.28615743,-0.00020035486,0.066587396,0.27118647,0.00023234518
0.7457627,0.0068965517,0.066961385,0.0017126729,0.25578403,0.00017570164,0.066587396,0.2542373,0.00023234518
0.7627119,0.0068965517,0.072266035,0.0047539677,0.21937272,-0.0008330286,0.066587396,0.23728812,0.00023234518
0.779661,0.0068965517,0.064755715,0.0026085253,0.21696706,0.001863204,0.066587396,0.220339,0.00023234518
0.7966102,0.0068965517,0.060522035,0.008352038,0.20266983,4.757027e-05,0.066587396,0.20338982,0.00023234518
0.8135593,0.0068965517,0.07243448,0.0092391325,0.19185181,-8.173419e-05,0.066587396,0.1864407,0.00023234518
0.8305085,0.0068965517,0.07521408,0.0031935424,0.15945138,0.00083450665,0.066587396,0.16949153,0.00023234518
0.84745765,0.0068965517,0.07411473,0.005495615,0.15974805,-0.00041350134,0.066587396,0.15254235,0.00023234518
0.86440676,0.0068965517,0.06992827,0.0027557742,0.1289132,-0.00036188343,0.066587396,0.13559324,0.00023234518
0.88135594,0.0068965517,0.058500525,-0.001547261,0.12288397,9.942558e-05,0.066587396,0.11864406,0.00023234518
0.89830506,0.0068965517,0.06622142,0.004197267,0.10121647,-0.00016875133,0.066587396,0.10169494,0.00023234518
0.91525424,0.0068965517,0.06819071,-0.006409024,0.0789049,1.3075565e-05,0.066587396,0.084745765,0.00023234518
0.9322034,0.0068965517,0.07366624,0.006148409,0.082417265,0.0007607756,0.066587396,0.06779659,0.00023234518
0.9491525,0.0068965517,0.05373151,-0.003823633,0.051365543,0.0006275617,0.066587396,0.05084747,0.00023234518
0.9661017,0.0068965517,0.071159095,-0.002940254,0.051136453,0.0003666291,0.066587396,0.033898294,0.00023234518
0.9830508,0.0068965517,0.06587073,-0.007316501,0.021397434,0.0009814157,0.066587396,0.016949177,0.00023234518
1.0,0.0068965517,0.061383087,-0.0017521803,-0.009945775,0.0004583774,0.066587396,0.0,0.00023234518
0.0,0.013793103,0.13306132,-0.001429496,0.99368924,0.00061032665,0.12841856,1.0,0.0009075129
