% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 22 2026, 00:01"
% Dimension,2
% Nodes,5086
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ epsilon=0.1,v (m/s) @ epsilon=0.1,p (Pa) @ epsilon=0.1,vef.Te_1xx (N/m^2) @ epsilon=0.1,vef.Te_1xy (N/m^2) @ epsilon=0.1,vef.Te_1yy (N/m^2) @ epsilon=0.1
0.013535533905932737,0.01353553390593274,0.005891078749768489,-0.005888375857702106,1.5895920629767712,1.2422828981426302,-2.341792397503942,3.5553852469886813
0.013600372029679758,0.013709803865981274,0.005670314011514694,-0.005502871946703806,1.3889749964058025,1.2058374500196967,-2.236499990488143,3.1590171070189617
0.013422735238775142,0.013644843410250553,0.006073833510980877,-0.005699669159082581,1.5695431505403699,1.3889990316141894,-2.4077329526781663,3.405628267557507
0.01364484341025055,0.013422735238775142,0.005701673618720011,-0.006071931725054852,1.6238237221174907,1.1002283476308785,-2.2664603829399748,3.7003374097476684
0.013718373709672464,0.013595905324009628,0.00548836883213731,-0.005674803295070423,1.3888546053520632,1.066267164630187,-2.1701555997411783,3.2978025885529596
0.013789014237007251,0.013775599760053108,0.005278784934756089,-0.005298638746170607,1.268713990855738,0.9903475312148639,-2.0090713563927025,3.039684163431501
0.013477831047184488,0.013819434280995368,0.005849224038911107,-0.005326155402120263,1.3853916915161262,1.3501576672360807,-2.2947374516815455,3.0173142177593912
0.013306558565652453,0.013750556019033763,0.006250425322568001,-0.0055053981674855436,1.555849322872896,1.5399178956169572,-2.4640524975320135,3.2511606800496806
0.013660033111307993,0.013889011539916812,0.005459761030487547,-0.005139430158104243,1.2657777553558078,1.125939477120385,-2.0773175321058583,2.916135054370741
0.013750556019033765,0.013306558565652457,0.0055055328276182244,-0.0062502729754422654,1.6798065780702958,0.9634371190423008,-2.182199439629007,3.840608587636876
0.013830800433200181,0.013476317096416135,0.005305639338298653,-0.0058457487279103834,1.3874001652738917,0.9325277778725952,-2.097251847090426,3.436227852282943
0.013852566968142578,0.013187119036995118,0.0053033698242383595,-0.0064226549715371865,1.7512519501790598,0.8324752469176359,-2.089663295581028,3.9765454864713496
0.013935682275700247,0.013349971672427111,0.0051252572472347555,-0.006020000099871393,1.386580473367834,0.8059096816759067,-2.0194148536193577,3.5773594406881677
0.013950775489717907,0.013064534716697497,0.005096388019111424,-0.006588130766169364,1.8004175738035608,0.7077927159069168,-1.9895629075531653,4.1084138585425025
0.014030789308688528,0.013218806542017597,0.004949559557603701,-0.006197275210195614,1.3923596702811736,0.6880117384070523,-1.9377795118705043,3.7205345649553574
0.014045084994930427,0.01293892622972893,0.004886327406951893,-0.006745554081750822,1.9251428126619843,0.5888897019593534,-1.8813384674597249,4.234646383997579
0.014111599378270837,0.013091713043794107,0.004787522576310097,-0.006365639791309178,1.3854014540172968,0.5846389344644741,-1.8570865676911767,3.856825507426066
0.014194305379611711,0.012947806699152953,0.004604723268534421,-0.006551831433466402,1.4689992523347855,0.4748175974974795,-1.7590294307823748,4.009449809976879
0.01413540329229132,0.01281041626989777,0.004685946541085914,-0.006886167170847518,1.4368121725844982,0.4767424166138186,-1.7670326093367585,4.349310910840008
0.013912051982461593,0.013657370500157884,0.005097924145265616,-0.005454105233136727,1.2734708309024168,0.8624446331165373,-1.9360642044982284,3.1597891606096105
