% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 21 2026, 13:41"
% Dimension,2
% Nodes,5086
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s),v (m/s),p (Pa),vef.Te_1xx (N/m^2),vef.Te_1xy (N/m^2),vef.Te_1yy (N/m^2)
0.013535533905932737,0.01353553390593274,0.0058911212429718285,-0.005888402014689199,0.0506080581164787,-1.3365086270187037,-0.6244247279348026,2.1612458675154493
0.013600372029679758,0.013709803865981274,0.005717011151445368,-0.005547554409471431,0.06703928905517448,-1.2571456882562335,-0.6114055308930592,1.999179799712185
0.013422735238775142,0.013644843410250553,0.00607387490019103,-0.00569969631902086,0.03150250020717942,-1.294885336147333,-0.7329800923591309,2.119097682533149
0.01364484341025055,0.013422735238775142,0.005701718804890013,-0.006071956610582939,0.08558693254842557,-1.3698805748286145,-0.5125304233540267,2.1967493233834032
0.013718373709672464,0.013595905324009628,0.005534134367513489,-0.005721525491870424,0.06744246377534409,-1.2928314304906625,-0.5080599204297277,2.034146896043346
0.013789014237007251,0.013775599760053108,0.0053731135785900766,-0.0053920455178446125,0.05595428429977089,-1.2235366318906353,-0.4794590651252966,1.8708228853219377
0.013477831047184488,0.013819434280995368,0.0058964927646929935,-0.005368564065704199,0.06199325851189499,-1.2154831810929416,-0.7130253041850586,1.9580454945482402
0.013306558565652453,0.013750556019033763,0.006250465810531759,-0.0055054263924251825,0.019111523834032796,-1.2452657392224904,-0.8380186719765182,2.069544737078543
0.013660033111307993,0.013889011539916812,0.005555438613333858,-0.005228054146018548,0.04927801934500276,-1.1920728269464933,-0.5797419101220062,1.8427220173111163
0.013750556019033765,0.013306558565652457,0.005505582500569176,-0.006250296680937209,0.14449484625462813,-1.3947791880816967,-0.39776987042333745,2.2265719063400526
0.013830800433200181,0.013476317096416135,0.005349686150358472,-0.005893721762514312,0.06304001888715173,-1.3231063809139394,-0.40352409632681213,2.0641467005213765
0.013852566968142578,0.013187119036995118,0.005303423472834137,-0.006422679022536723,0.22068362428942537,-1.411548032267279,-0.28118873197326966,2.2515624324752945
0.013935682275700247,0.013349971672427111,0.005166311669442773,-0.006067739033796891,0.053714883403588994,-1.3484667257298764,-0.2981965153974195,2.090721529899423
0.013950775489717907,0.013064534716697497,0.005096442373721901,-0.006588157283861171,0.27644820112121593,-1.4211247336288928,-0.1642748838219158,2.271790057176159
